[Header],,,,,,,,
Investigator Name,,Michael Verbiest,,,,,,
Project Name,,MET2020-244-014,,,,,,
Experiment Name,,,,,,,,
Date,,08_02_2022,,,,,,
,,,,,,,,
,,,,,,,,
[Data],,,,,,,,
Sample_Well,Sample_Name,Sample_Group,Sample_Plate,Sentrix_ID,Sentrix_Position,Project,Gender,Pool_ID
A1,H19_12883,,MET2020-244-014_plate1,205854140120,R01C01,MET2020-244-014,,
A2,H17_14522,,MET2020-244-014_plate1,205854140137,R01C01,MET2020-244-014,,
A3,H16_15693,,MET2020-244-014_plate1,205854140094,R01C01,MET2020-244-014,,
B1,H19_10383,,MET2020-244-014_plate1,205854140120,R02C01,MET2020-244-014,,
B2,H18_15189,,MET2020-244-014_plate1,205854140137,R02C01,MET2020-244-014,,
B3,H13_10981,,MET2020-244-014_plate1,205854140094,R02C01,MET2020-244-014,,
C1,H20_01695,,MET2020-244-014_plate1,205854140120,R03C01,MET2020-244-014,,
C2,H13_10221,,MET2020-244-014_plate1,205854140137,R03C01,MET2020-244-014,,
C3,H13_11261,,MET2020-244-014_plate1,205854140094,R03C01,MET2020-244-014,,
D1,H15_10115,,MET2020-244-014_plate1,205854140120,R04C01,MET2020-244-014,,
D2,H19_06141,,MET2020-244-014_plate1,205854140137,R04C01,MET2020-244-014,,
D3,H17_02060,,MET2020-244-014_plate1,205854140094,R04C01,MET2020-244-014,,
E1,H20_02604,,MET2020-244-014_plate1,205854140120,R05C01,MET2020-244-014,,
E2,H19_03711,,MET2020-244-014_plate1,205854140137,R05C01,MET2020-244-014,,
E3,H14_09874,,MET2020-244-014_plate1,205854140094,R05C01,MET2020-244-014,,
F1,H20_02017,,MET2020-244-014_plate1,205854140120,R06C01,MET2020-244-014,,
F2,H17_00099,,MET2020-244-014_plate1,205854140137,R06C01,MET2020-244-014,,
F3,H16_15723,,MET2020-244-014_plate1,205854140094,R06C01,MET2020-244-014,,
G1,H20_05328,,MET2020-244-014_plate1,205854140120,R07C01,MET2020-244-014,,
G2,H19_08684,,MET2020-244-014_plate1,205854140137,R07C01,MET2020-244-014,,
G3,H17_11568,,MET2020-244-014_plate1,205854140094,R07C01,MET2020-244-014,,
H1,H17_09987,,MET2020-244-014_plate1,205854140120,R08C01,MET2020-244-014,,
H2,H17_13158,,MET2020-244-014_plate1,205854140137,R08C01,MET2020-244-014,,
